compiler,case,scenario,mode,trial,checked_messages,worker_processes,signals_sent,basis,successor_all_attached_ns,successor_first_validated_read_ns,old_ready,old_unavailable_orphans
clang,read_held_spsc_1p1c_t000,read_held,1,0,10000,4,1,terminal_notification,2700475,2797989,0,0
clang,resume_write_spsc_1p1c_t000,resume_write,1,0,10000,4,1,false_suspicion,1757002,1912201,0,0
clang,resume_read_spsc_1p1c_t000,resume_read,1,0,10000,4,1,false_suspicion,1509708,1614443,0,0
clang,random_abort_kill_ncq_1p1c_t000,random_abort_kill,2,0,20000,7,1,terminal_notification,2127990,2170733,0,0
clang,storm_spsc_1p1c_t000,storm,1,0,32000,2,24,,,,0,0
clang,storm_ncq_1p1c_t000,storm,2,0,32000,2,30,,,,0,0
clang,storm_ncq_4p4c_t000,storm,2,0,32000,8,36,,,,0,0
clang,storm_ncq_16p1c_t000,storm,2,0,32000,17,66,,,,0,0
clang,storm_ncq_1p16c_t000,storm,2,0,32000,17,150,,,,0,0
clang,storm_ncq_16p16c_t000,storm,2,0,32000,32,290,,,,0,0
clang,storm_restart_spsc_1p1c_t000,storm_restart,1,0,32000,2,18,,,,0,0
clang,storm_restart_ncq_1p1c_t000,storm_restart,2,0,32000,2,26,,,,0,0
clang,storm_restart_ncq_4p4c_t000,storm_restart,2,0,32000,8,66,,,,0,0
clang,storm_restart_ncq_16p1c_t000,storm_restart,2,0,32000,17,140,,,,0,0
clang,storm_restart_ncq_1p16c_t000,storm_restart,2,0,32000,17,180,,,,0,0
clang,storm_restart_ncq_16p16c_t000,storm_restart,2,0,32000,32,152,,,,0,0
clang,write_claim_ncq_1p1c_t001,write_claim,2,1,20000,7,1,terminal_notification,1631828,1672959,0,1
clang,write_reserved_ncq_1p1c_t001,write_reserved,2,1,20000,7,1,terminal_notification,2419020,2535952,0,1
clang,write_committed_ncq_1p1c_t001,write_committed,2,1,20000,7,1,terminal_notification,2261497,2305102,0,1
clang,write_published_ncq_1p1c_t001,write_published,2,1,20000,7,1,terminal_notification,2117845,2190793,0,0
clang,read_claim_ncq_1p1c_t001,read_claim,2,1,20000,7,1,terminal_notification,2431207,2542251,0,1
clang,read_returning_ncq_1p1c_t001,read_returning,2,1,20000,7,1,terminal_notification,1790963,1871091,0,1
clang,read_returned_ncq_1p1c_t001,read_returned,2,1,20000,7,1,terminal_notification,1966832,2041903,0,0
clang,late_publication_ncq_1p1c_t001,late_publication,2,1,20000,7,1,false_suspicion,3094516,3152021,1,0
clang,write_partial_ncq_1p1c_t001,write_partial,2,1,20000,7,1,terminal_notification,2040962,2117656,0,1
clang,read_held_ncq_1p1c_t001,read_held,2,1,20000,7,1,terminal_notification,1762350,1830962,0,1
clang,resume_write_ncq_1p1c_t001,resume_write,2,1,20000,7,1,false_suspicion,3677872,3722287,0,1
clang,resume_read_ncq_1p1c_t001,resume_read,2,1,20000,7,1,false_suspicion,5813407,5875289,0,1
clang,async_resume_write_ncq_1p1c_t001,async_resume_write,2,1,1083851,7,1,false_suspicion,15593829,15656652,44,3
clang,write_partial_spsc_1p1c_t001,write_partial,1,1,10000,4,1,terminal_notification,1590958,1670806,0,0
clang,read_held_spsc_1p1c_t001,read_held,1,1,10000,4,1,terminal_notification,1665578,1743032,0,0
clang,resume_write_spsc_1p1c_t001,resume_write,1,1,10000,4,1,false_suspicion,1916949,1988705,0,0
clang,resume_read_spsc_1p1c_t001,resume_read,1,1,10000,4,1,false_suspicion,1792009,1964363,0,0
clang,random_abort_kill_ncq_1p1c_t001,random_abort_kill,2,1,20000,7,1,terminal_notification,1791303,1859694,0,0
clang,storm_spsc_1p1c_t001,storm,1,1,32000,2,18,,,,0,0
clang,storm_ncq_1p1c_t001,storm,2,1,32000,2,30,,,,0,0
clang,storm_ncq_4p4c_t001,storm,2,1,32000,8,68,,,,0,0
clang,storm_ncq_16p1c_t001,storm,2,1,32000,17,108,,,,0,0
clang,storm_ncq_1p16c_t001,storm,2,1,32000,17,126,,,,0,0
clang,storm_ncq_16p16c_t001,storm,2,1,32000,32,266,,,,0,0
clang,storm_restart_spsc_1p1c_t001,storm_restart,1,1,32000,2,18,,,,0,0
clang,storm_restart_ncq_1p1c_t001,storm_restart,2,1,32000,2,26,,,,0,0
clang,storm_restart_ncq_4p4c_t001,storm_restart,2,1,32000,8,36,,,,0,0
clang,storm_restart_ncq_16p1c_t001,storm_restart,2,1,32000,17,76,,,,0,0
clang,storm_restart_ncq_1p16c_t001,storm_restart,2,1,32000,17,190,,,,0,0
clang,storm_restart_ncq_16p16c_t001,storm_restart,2,1,32000,32,362,,,,0,0
clang,write_claim_ncq_1p1c_t002,write_claim,2,2,20000,7,1,terminal_notification,1995835,2096573,0,1
clang,write_reserved_ncq_1p1c_t002,write_reserved,2,2,20000,7,1,terminal_notification,1914946,2013982,0,1
clang,write_committed_ncq_1p1c_t002,write_committed,2,2,20000,7,1,terminal_notification,1852774,1923689,0,1
clang,write_published_ncq_1p1c_t002,write_published,2,2,20000,7,1,terminal_notification,1956277,2058778,0,0
clang,read_claim_ncq_1p1c_t002,read_claim,2,2,20000,7,1,terminal_notification,1987412,2059669,0,1
clang,read_returning_ncq_1p1c_t002,read_returning,2,2,20000,7,1,terminal_notification,2088422,2171224,0,1
clang,read_returned_ncq_1p1c_t002,read_returned,2,2,20000,7,1,terminal_notification,1968956,2037667,0,0
clang,late_publication_ncq_1p1c_t002,late_publication,2,2,20000,7,1,false_suspicion,4929463,4995220,1,0
