compiler,cell,axis,runtime,mode,P,C,payload_bytes,capacity,trials,messages_each,arrival,hold_ns,checksum,median_messages_per_second,min_messages_per_second,max_messages_per_second,median_GB_per_second,min_GB_per_second,max_GB_per_second,median_trial_native_latency_p50_ns,median_trial_native_latency_p99_ns,median_trial_native_latency_p99_9_ns,median_trial_native_latency_max_ns,median_trial_offered_latency_p50_ns,median_trial_offered_latency_p99_ns,median_trial_offered_latency_p99_9_ns,median_trial_offered_latency_max_ns,median_trial_returned_latency_p50_ns,median_trial_returned_latency_p99_ns,median_trial_returned_latency_p99_9_ns,median_trial_returned_latency_max_ns
clang,ncq-pop-16-16,population,native_c,ncq,16,16,64,32,3,20000,1,0,0,1044150.3850121818,920031.2939444323,1054640.6138092743,0.06682562464077964,0.058882002812443664,0.06749699928379356,6585,14551,25228,153955,6625,14611,25268,153995,7121,17096,25698,182602
clang,ncq-closed-small,arrival,native_c,ncq,1,1,64,32,3,20000,0,0,0,733622.9138607119,728731.54182214,774392.6622268412,0.04695186648708556,0.04663881867661696,0.04956113038251784,695,865,13024,71801,735,906,13415,71841,916,1197,16049,75287
clang,spsc-saturation-small,population,native_c,spsc,1,1,64,32,3,20000,1,0,0,2347035.7583806487,2146414.9022152396,2540178.3179777437,0.1502102885363615,0.13737055374177534,0.1625714123505756,635,3480,174765,214354,675,3520,174805,214384,685,3570,174815,214464
clang,ncq-fixed-rate,arrival,native_c,ncq,1,1,64,32,3,2048,2,0,0,99685.74167286984,96147.30518304865,99699.90717393409,0.006379887467063671,0.006153427531715113,0.0063807940591317815,737,7656,90370,109558,797,151312,902177,921005,946,7886,90570,109788
clang,ncq-bursts,arrival,native_c,ncq,1,1,64,32,3,2048,3,0,0,101199.41567220204,101198.44055574942,101233.03117151876,0.006476762603020931,0.006476700195567963,0.006478913994977201,1037,45523,45984,73795,9358,336102,347348,348390,1257,45734,46184,74005
clang,spsc-retained,retention,native_c,spsc,1,1,64,2,3,1024,1,100000,0,9663.525388633914,9533.139978166502,9760.674830181177,0.0006184656248725705,0.0006101209586026561,0.0006246831891315954,200498,303687,779651,850041,200538,303727,779681,850081,300668,410061,879960,950190
clang,spsc-crc64,integrity,native_c,spsc,1,1,4096,32,3,1024,1,0,1,42631.08392195314,41419.5365032519,43574.583047836124,0.1746169197443201,0.16965442151731977,0.17848149216393677,55253,308179,336652,338194,55293,308219,336692,338234,55303,308229,336702,338334
clang,spsc-helper-c-1m,runtime,native_c,spsc,1,1,1048576,8,3,1024,1,0,0,2283.970357089241,2273.0623900086975,2284.4795551104567,2.3949165011552083,2.38347866866576,2.3954504339795024,463140,780883,1325894,1564729,463190,780953,1325934,1564769,463380,780973,1326054,1565020
clang,spsc-python-1m,runtime,python_helper,spsc,1,1,1048576,8,3,1024,1,0,0,9477.197875793456,2141.692976758352,12858.138394202848,9.937562239807997,2.245727854797366,13.482735324839645,93118,856079,1358857,1421901,93319,856280,1359138,1422112,98697,862959,1370415,1428911
clang,spsc-python-bytecode,runtime,python_bytecode,spsc,1,1,64,32,3,512,0,0,0,26975.466919252576,23672.406809201373,27617.957130996987,0.0017264298828321648,0.0015150340357888879,0.0017675492563838072,27721,82819,218441,218441,27911,83019,218631,218631,31878,92974,229197,229197
clang,spsc-python-retained-gc,runtime,python_gc,spsc,1,1,64,32,3,256,1,100000,0,410.83270056003494,394.20114228465724,419.738381690373,2.6293292835842235e-05,2.522887310621806e-05,2.6863256428183873e-05,42637772,79659280,91027830,91027830,42638383,79659460,91028031,91028031,42694787,120701617,133359567,133359567
clang,spsc-llc-candidate,pool_size,native_c,spsc,1,1,67108864,2,3,16,1,0,0,248.2561287029283,244.28960080239364,266.79904790758764,16.660186778291312,16.393997596862125,17.904581021359782,6570154,7645615,7645615,7645615,6570305,7645785,7645785,7645785,6571726,7647918,7647918,7647918
clang,ncq-retained,retention,native_c,ncq,1,1,64,2,3,1024,1,100000,0,9841.991062472538,9612.903309992034,9884.991884218944,0.0006298874279982424,0.0006152258118394901,0.0006326394805900124,201224,247363,384096,388112,201255,247403,384136,388152,301604,368663,488552,488642
clang,ncq-crc64,integrity,native_c,ncq,1,1,4096,32,3,1024,1,0,1,43141.29642460608,42145.4451659977,43161.691705646364,0.1767067501551865,0.17262774339992656,0.17679028922632753,42394,88832,128241,169773,42434,88862,128271,169803,42603,89132,128441,170083
clang,ncq-helper-c-1m,runtime,native_c,ncq,1,1,1048576,8,3,1024,1,0,0,49634.20944822076,4223.612794489598,50784.12373234347,52.04524080637753,4.428779009594725,53.25101332676578,114025,308394,422454,422654,114064,308444,422484,422704,114174,308524,422554,422774
clang,ncq-python-1m,runtime,python_helper,ncq,1,1,1048576,8,3,1024,1,0,0,7603.707309276762,2765.9834215813503,11835.412135634007,7.973064995532191,2.900343832268086,12.410329115534566,136132,1408752,2437043,3337613,136443,1408992,2437273,3337783,145667,1415272,2455340,3345685
clang,ncq-python-bytecode,runtime,python_bytecode,ncq,1,1,64,32,3,512,0,0,0,26599.739229040846,23980.357089998655,26685.072417397063,0.0017023833106586143,0.0015347428537599139,0.001707844634713412,28102,94215,142322,142322,28302,94426,142602,142602,32509,101305,163023,163023
clang,ncq-python-retained-gc,runtime,python_gc,ncq,1,1,64,32,3,256,1,100000,0,410.6650147067564,398.8256174636515,414.0418790389492,2.6282560941232408e-05,2.5524839517673696e-05,2.649868025849275e-05,36270690,78968461,87524557,87524557,36270891,78968651,87524737,87524737,36275878,118557681,131293182,131293182
clang,ncq-llc-candidate,pool_size,native_c,ncq,1,1,67108864,2,3,16,1,0,0,258.44953089633304,214.4713986438598,261.85280399592614,17.34425441978581,14.392931923480573,17.572644211381267,7403835,9014913,9014913,9014913,7404005,9014953,9014953,9014953,7405307,9017347,9017347,9017347
clang,ncq-l2-candidate,pool_size,native_c,ncq,1,1,4096,1024,3,4096,1,0,0,1526505.3276750273,519343.31978805823,2409353.6567647485,6.252565822156912,2.1272302378518866,9.86871257810841,2759,64997,66499,66660,2799,65027,66539,66700,2959,65087,66589,66750
clang,ncq-yield-requests,os_faults,native_c,ncq,4,4,64,32,3,4096,1,0,0,85584.40052128756,42748.225382462246,353664.4943124429,0.005477401633362404,0.0027358864244775836,0.022634527635996344,4807,2314364,3729482,10037901,4847,2314394,3729512,10037941,5028,2314574,3729802,10038121
clang,python-asymmetric-1-16,population,python_helper,ncq,1,16,64,32,3,512,1,0,0,10600.17464201792,9917.43637368939,11643.724852141182,0.0006784111770891469,0.000634715927916121,0.0007451983905370356,18523,75988,16097564,16097564,18713,77030,16097744,16097744,23079,94080,16119868,16119868
clang,python-asymmetric-16-1,population,python_helper,ncq,16,1,64,32,3,512,1,0,0,6793.039580985152,6734.516304612537,7940.149756497163,0.0004347545331830497,0.0004310090434952024,0.0005081695844158184,514917,24482429,60438056,60438056,515107,24482640,60438596,60438596,519163,24486576,60442172,60442172
clang,reported-same-l2,locality,native_c,spsc,1,1,64,32,3,20000,0,0,0,928796.8110690289,884765.6841859857,982109.404041282,0.059442995908417846,0.05662500378790308,0.06285500185864205,591,841,20476,128807,631,877,20516,128848,641,892,20626,128867
